,rewards,actor_losses,critic_losses,trajectory_lengths
389,163.94155784702244,-42.480614,14.373633,679
390,161.15403798200867,-42.51689,10.556529,683
391,195.2383518562989,-42.218876,21.43218,629
392,-250.33740628816517,-42.85908,11.0465765,719
393,37.13434237959987,-42.81305,12.484383,1540
394,220.39309988605334,-43.13189,14.497413,779
395,212.43246285378532,-42.881718,10.874173,593
396,173.05482704687574,-42.942425,14.890376,705
397,-71.01090135737311,-42.870415,10.4115305,565
398,-185.4556075163458,-43.25664,10.0617,577
399,-231.7450148035755,-42.952805,27.314613,131
400,-250.81658107182122,-43.50752,15.848727,135
401,-162.94917800873225,-43.6111,9.380369,129
402,-186.66101028295074,-43.191372,18.812471,432
403,-225.30050621657605,-43.53036,13.574515,625
404,-186.87293498986185,-43.237686,11.749038,512
405,44.26903242281669,-43.317307,15.330384,925
406,-234.1066276850241,-43.552635,12.24293,468
407,96.11653816555082,-43.14661,13.282243,1004
408,207.23483013550162,-43.370228,17.528776,820
409,213.09430341301106,-43.3189,11.5973835,577
410,108.6940712470159,-43.688404,12.422991,994
411,136.95710662764387,-43.964546,10.8231535,658
412,280.0246973041065,-44.215122,12.824956,510
413,248.46262303258953,-43.974804,12.618394,402
414,244.90467376886173,-43.653717,10.710873,504
415,192.93264744069404,-43.980347,10.636933,533
416,-31.302200774922753,-43.919186,12.255715,202
417,215.8289797787903,-43.88434,11.521638,796
418,179.98417043038052,-44.24228,13.239664,556
419,161.87335179068901,-44.423416,14.639578,633
420,187.91666049151024,-44.091976,12.663659,499
421,138.76238485111264,-44.354927,13.499531,766
422,-206.73045338280036,-44.765793,13.075178,472
423,143.4335453742975,-44.54451,11.161232,515
424,234.07988421257426,-44.584404,11.967657,461
425,223.24553645690412,-44.564724,13.894054,352
426,267.63190816208055,-44.734833,16.540915,336
427,200.17024377377908,-44.777546,13.584111,539
428,-279.54137165286386,-44.634663,16.126904,549
429,204.54385077489962,-44.63622,21.593842,579
430,261.98822855100616,-44.605946,11.133057,334
431,-271.60937785855765,-44.996944,9.161216,109
432,-283.29035194210724,-44.716343,11.858977,130
433,259.01317311332883,-44.792572,22.551012,316
434,253.0040536710461,-45.220657,15.195067,389
435,251.1191323500055,-44.74348,13.642561,319
436,223.32571505128632,-44.953465,10.934199,472
437,147.50343455394034,-44.683094,11.561965,569
438,189.28798078282836,-44.698586,14.535714,547
439,281.21048439608774,-45.299385,16.090355,304
440,194.71160262941197,-44.896675,10.762854,406
441,193.70284209412176,-44.890045,22.836996,284
442,-188.09879561427314,-44.875004,10.679403,203
443,211.90205944078394,-45.08152,10.518112,437
444,292.01344663414636,-45.082493,15.174786,335
445,125.17434572390405,-44.862198,12.756285,567
446,260.75407174715093,-45.09408,19.363438,295
447,261.81727694134884,-45.337624,12.901662,291
448,202.33332415557607,-45.134697,12.875299,444
449,204.14049744111196,-45.189545,14.533658,638
450,274.6694012451628,-45.529106,6.96899,289
451,276.4527917176765,-45.399303,12.055868,305
452,146.56552703173156,-45.53512,12.765217,613
453,144.47546393893217,-45.160984,10.769979,855
454,238.69343951142756,-45.51369,14.927841,427
455,273.16638304289404,-45.518757,9.507092,297
456,-15.073627501244815,-45.405922,14.726986,208
457,164.320606528116,-45.701183,10.519731,747
458,49.877667408214165,-45.739758,16.205963,165
459,221.93672922104577,-45.844456,13.756332,443
460,236.97754346248692,-46.704803,10.262136,361
461,256.838197810725,-45.83982,15.192413,319
462,-19.80166783076662,-45.95422,18.724216,208
463,-49.44026960203084,-46.7325,14.880382,273
464,145.16599852315423,-45.99997,11.827706,402
465,294.29109775082395,-46.074635,11.596298,291
466,270.3621690214369,-45.941654,11.397536,417
467,243.88755270956534,-46.30593,9.924811,296
468,295.09184191060183,-46.017105,14.923573,332
469,17.486967847064008,-45.883118,19.501572,174
470,243.88994997392626,-46.565712,13.348026,343
471,281.8788221630318,-46.645912,15.928928,396
472,29.42164754378871,-46.543297,11.993174,188
473,269.51423908569586,-46.063908,10.990078,304
474,150.15358384484637,-46.469913,12.278465,695
475,196.71066816998754,-46.21237,13.167135,441
476,261.4755547893291,-46.72155,11.148761,328
477,237.43088377913028,-46.36102,11.181357,390
478,228.24356515393785,-46.781883,12.618436,791
479,226.53038312857473,-46.761116,13.694339,330
480,236.71503026155946,-47.007816,24.275505,332
481,269.4110577974466,-47.395187,11.658858,277
482,236.01694530939432,-46.811718,14.78262,379
483,-27.972065302427836,-46.46184,12.101951,139
484,238.89365077087893,-46.45153,13.691742,431
485,233.56017833443232,-46.9039,17.412941,277
486,265.0472857338592,-47.62803,16.035467,307
487,223.6998162491248,-46.55117,12.372411,353
488,242.574666960295,-47.125286,11.314136,350
489,-544.2467257634876,-47.554806,12.567892,2750
490,-394.1620115481364,-48.14538,13.4272375,172
